Cost,Path,Function-Type,Start,Iteration
1854,"['Devils', 'Islanders', 'Devils', 'Flyers', 'Capitals', 'Hurricanes', 'Penguins', 'Blue Jackets', 'Rangers']",Simple,Devils,76
1966,"['Devils', 'Capitals', 'Flyers', 'Rangers', 'Islanders', 'Hurricanes', 'Devils', 'Penguins', 'Blue Jackets']",Simple,Devils,77
1905,"['Devils', 'Capitals', 'Penguins', 'Blue Jackets', 'Rangers', 'Devils', 'Flyers', 'Islanders', 'Hurricanes']",Simple,Devils,78
1668,"['Devils', 'Capitals', 'Devils', 'Rangers', 'Flyers', 'Islanders', 'Penguins', 'Blue Jackets', 'Hurricanes']",Simple,Devils,79
1392,"['Devils', 'Rangers', 'Islanders', 'Devils', 'Flyers', 'Hurricanes', 'Capitals', 'Penguins', 'Blue Jackets']",Simple,Devils,80
2350,"['Devils', 'Islanders', 'Penguins', 'Hurricanes', 'Capitals', 'Blue Jackets', 'Rangers', 'Flyers', 'Devils']",Simple,Devils,81
1568,"['Devils', 'Rangers', 'Flyers', 'Devils', 'Islanders', 'Hurricanes', 'Capitals', 'Penguins', 'Blue Jackets']",Simple,Devils,82
1736,"['Devils', 'Capitals', 'Islanders', 'Rangers', 'Flyers', 'Devils', 'Blue Jackets', 'Penguins', 'Hurricanes']",Simple,Devils,83
2031,"['Devils', 'Flyers', 'Islanders', 'Hurricanes', 'Capitals', 'Blue Jackets', 'Penguins', 'Rangers', 'Devils']",Simple,Devils,84
1927,"['Devils', 'Penguins', 'Blue Jackets', 'Hurricanes', 'Islanders', 'Rangers', 'Devils', 'Capitals', 'Flyers']",Simple,Devils,85
2069,"['Devils', 'Hurricanes', 'Penguins', 'Blue Jackets', 'Capitals', 'Islanders', 'Flyers', 'Rangers', 'Devils']",Simple,Devils,86
1532,"['Devils', 'Rangers', 'Islanders', 'Devils', 'Flyers', 'Penguins', 'Capitals', 'Hurricanes', 'Blue Jackets']",Simple,Devils,87
2136,"['Devils', 'Islanders', 'Flyers', 'Penguins', 'Blue Jackets', 'Capitals', 'Hurricanes', 'Rangers', 'Devils']",Simple,Devils,88
1744,"['Devils', 'Rangers', 'Devils', 'Flyers', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Capitals', 'Islanders']",Simple,Devils,89
2050,"['Devils', 'Penguins', 'Blue Jackets', 'Hurricanes', 'Rangers', 'Devils', 'Islanders', 'Flyers', 'Capitals']",Simple,Devils,90
1683,"['Devils', 'Flyers', 'Devils', 'Islanders', 'Rangers', 'Capitals', 'Hurricanes', 'Penguins', 'Blue Jackets']",Simple,Devils,91
2183,"['Devils', 'Blue Jackets', 'Capitals', 'Hurricanes', 'Flyers', 'Islanders', 'Rangers', 'Devils', 'Penguins']",Simple,Devils,92
1361,"['Devils', 'Flyers', 'Rangers', 'Islanders', 'Devils', 'Capitals', 'Hurricanes', 'Blue Jackets', 'Penguins']",Simple,Devils,93
1870,"['Devils', 'Rangers', 'Devils', 'Flyers', 'Blue Jackets', 'Penguins', 'Capitals', 'Islanders', 'Hurricanes']",Simple,Devils,94
2064,"['Devils', 'Penguins', 'Blue Jackets', 'Devils', 'Flyers', 'Hurricanes', 'Capitals', 'Islanders', 'Rangers']",Simple,Devils,95
1856,"['Devils', 'Penguins', 'Blue Jackets', 'Capitals', 'Flyers', 'Islanders', 'Devils', 'Rangers', 'Hurricanes']",Simple,Devils,96
1934,"['Devils', 'Capitals', 'Rangers', 'Islanders', 'Devils', 'Penguins', 'Blue Jackets', 'Flyers', 'Hurricanes']",Simple,Devils,97
1857,"['Devils', 'Rangers', 'Islanders', 'Devils', 'Capitals', 'Blue Jackets', 'Penguins', 'Hurricanes', 'Flyers']",Simple,Devils,98
1710,"['Devils', 'Flyers', 'Devils', 'Capitals', 'Rangers', 'Islanders', 'Hurricanes', 'Penguins', 'Blue Jackets']",Simple,Devils,99
2108,"['Devils', 'Blue Jackets', 'Penguins', 'Rangers', 'Islanders', 'Capitals', 'Hurricanes', 'Flyers', 'Devils']",Simple,Devils,100
2072,"['Devils', 'Rangers', 'Capitals', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Devils', 'Islanders', 'Flyers']",Simple,Devils,101
2015,"['Devils', 'Rangers', 'Islanders', 'Capitals', 'Blue Jackets', 'Hurricanes', 'Devils', 'Flyers', 'Penguins']",Simple,Devils,102
1892,"['Devils', 'Rangers', 'Penguins', 'Blue Jackets', 'Hurricanes', 'Devils', 'Islanders', 'Flyers', 'Capitals']",Simple,Devils,103
2090,"['Devils', 'Blue Jackets', 'Hurricanes', 'Penguins', 'Capitals', 'Islanders', 'Rangers', 'Flyers', 'Devils']",Simple,Devils,104
1951,"['Devils', 'Islanders', 'Capitals', 'Hurricanes', 'Rangers', 'Flyers', 'Devils', 'Penguins', 'Blue Jackets']",Simple,Devils,105
1897,"['Devils', 'Penguins', 'Blue Jackets', 'Hurricanes', 'Devils', 'Capitals', 'Flyers', 'Islanders', 'Rangers']",Simple,Devils,106
1960,"['Devils', 'Capitals', 'Flyers', 'Penguins', 'Blue Jackets', 'Hurricanes', 'Islanders', 'Devils', 'Rangers']",Simple,Devils,107
1824,"['Devils', 'Flyers', 'Devils', 'Rangers', 'Islanders', 'Hurricanes', 'Blue Jackets', 'Capitals', 'Penguins']",Simple,Devils,108
1942,"['Devils', 'Blue Jackets', 'Hurricanes', 'Capitals', 'Devils', 'Islanders', 'Rangers', 'Flyers', 'Penguins']",Simple,Devils,109
1568,"['Devils', 'Rangers', 'Flyers', 'Devils', 'Islanders', 'Hurricanes', 'Capitals', 'Penguins', 'Blue Jackets']",Simple,Devils,110
1946,"['Devils', 'Islanders', 'Rangers', 'Penguins', 'Hurricanes', 'Capitals', 'Devils', 'Flyers', 'Blue Jackets']",Simple,Devils,111
1791,"['Devils', 'Capitals', 'Blue Jackets', 'Penguins', 'Devils', 'Flyers', 'Rangers', 'Islanders', 'Hurricanes']",Simple,Devils,112
1992,"['Devils', 'Rangers', 'Islanders', 'Devils', 'Penguins', 'Flyers', 'Blue Jackets', 'Capitals', 'Hurricanes']",Simple,Devils,113
2138,"['Devils', 'Rangers', 'Flyers', 'Devils', 'Blue Jackets', 'Penguins', 'Islanders', 'Hurricanes', 'Capitals']",Simple,Devils,114
2039,"['Devils', 'Islanders', 'Capitals', 'Flyers', 'Blue Jackets', 'Penguins', 'Rangers', 'Devils', 'Hurricanes']",Simple,Devils,115
1652,"['Devils', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Capitals', 'Flyers', 'Devils', 'Islanders', 'Rangers']",Simple,Devils,116
1973,"['Devils', 'Rangers', 'Devils', 'Flyers', 'Capitals', 'Penguins', 'Islanders', 'Hurricanes', 'Blue Jackets']",Simple,Devils,117
1974,"['Devils', 'Islanders', 'Flyers', 'Rangers', 'Blue Jackets', 'Penguins', 'Hurricanes', 'Capitals', 'Devils']",Simple,Devils,118
2140,"['Devils', 'Hurricanes', 'Capitals', 'Flyers', 'Rangers', 'Blue Jackets', 'Penguins', 'Devils', 'Islanders']",Simple,Devils,119
1964,"['Devils', 'Rangers', 'Flyers', 'Devils', 'Penguins', 'Blue Jackets', 'Capitals', 'Hurricanes', 'Islanders']",Simple,Devils,120
1904,"['Devils', 'Rangers', 'Devils', 'Islanders', 'Blue Jackets', 'Penguins', 'Hurricanes', 'Capitals', 'Flyers']",Simple,Devils,121
1915,"['Devils', 'Penguins', 'Blue Jackets', 'Capitals', 'Devils', 'Rangers', 'Flyers', 'Islanders', 'Hurricanes']",Simple,Devils,122
1833,"['Devils', 'Flyers', 'Islanders', 'Rangers', 'Penguins', 'Blue Jackets', 'Hurricanes', 'Devils', 'Capitals']",Simple,Devils,123
1653,"['Devils', 'Rangers', 'Islanders', 'Capitals', 'Devils', 'Flyers', 'Hurricanes', 'Penguins', 'Blue Jackets']",Simple,Devils,124
2038,"['Devils', 'Islanders', 'Devils', 'Flyers', 'Capitals', 'Hurricanes', 'Rangers', 'Blue Jackets', 'Penguins']",Simple,Devils,125
1916,"['Devils', 'Rangers', 'Capitals', 'Islanders', 'Devils', 'Flyers', 'Penguins', 'Blue Jackets', 'Hurricanes']",Simple,Devils,126
2112,"['Devils', 'Hurricanes', 'Capitals', 'Islanders', 'Rangers', 'Blue Jackets', 'Penguins', 'Flyers', 'Devils']",Simple,Devils,127
1795,"['Devils', 'Rangers', 'Islanders', 'Devils', 'Penguins', 'Capitals', 'Flyers', 'Hurricanes', 'Blue Jackets']",Simple,Devils,128
1893,"['Devils', 'Islanders', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Rangers', 'Devils', 'Flyers', 'Capitals']",Simple,Devils,129
1897,"['Devils', 'Rangers', 'Flyers', 'Islanders', 'Hurricanes', 'Devils', 'Capitals', 'Penguins', 'Blue Jackets']",Simple,Devils,130
2431,"['Devils', 'Flyers', 'Penguins', 'Islanders', 'Rangers', 'Capitals', 'Devils', 'Blue Jackets', 'Hurricanes']",Simple,Devils,131
1892,"['Devils', 'Islanders', 'Rangers', 'Blue Jackets', 'Penguins', 'Capitals', 'Hurricanes', 'Devils', 'Flyers']",Simple,Devils,132
1666,"['Devils', 'Blue Jackets', 'Penguins', 'Flyers', 'Islanders', 'Rangers', 'Devils', 'Capitals', 'Hurricanes']",Simple,Devils,133
1989,"['Devils', 'Blue Jackets', 'Penguins', 'Devils', 'Flyers', 'Capitals', 'Islanders', 'Rangers', 'Hurricanes']",Simple,Devils,134
2099,"['Devils', 'Capitals', 'Islanders', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Devils', 'Rangers', 'Flyers']",Simple,Devils,135
2275,"['Devils', 'Flyers', 'Capitals', 'Rangers', 'Islanders', 'Blue Jackets', 'Hurricanes', 'Penguins', 'Devils']",Simple,Devils,136
2010,"['Devils', 'Rangers', 'Islanders', 'Flyers', 'Hurricanes', 'Blue Jackets', 'Capitals', 'Devils', 'Penguins']",Simple,Devils,137
1978,"['Devils', 'Islanders', 'Hurricanes', 'Rangers', 'Devils', 'Flyers', 'Capitals', 'Penguins', 'Blue Jackets']",Simple,Devils,138
1652,"['Devils', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Capitals', 'Flyers', 'Devils', 'Islanders', 'Rangers']",Simple,Devils,139
1686,"['Devils', 'Flyers', 'Rangers', 'Islanders', 'Capitals', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Devils']",Simple,Devils,140
1959,"['Devils', 'Penguins', 'Blue Jackets', 'Hurricanes', 'Flyers', 'Rangers', 'Islanders', 'Capitals', 'Devils']",Simple,Devils,141
2088,"['Devils', 'Islanders', 'Devils', 'Rangers', 'Blue Jackets', 'Hurricanes', 'Capitals', 'Penguins', 'Flyers']",Simple,Devils,142
1989,"['Devils', 'Islanders', 'Devils', 'Rangers', 'Capitals', 'Flyers', 'Hurricanes', 'Blue Jackets', 'Penguins']",Simple,Devils,143
1760,"['Devils', 'Rangers', 'Blue Jackets', 'Penguins', 'Islanders', 'Devils', 'Flyers', 'Capitals', 'Hurricanes']",Simple,Devils,144
