Cost,Path,Function-Type,Start
7212,"['Jets', 'Blues', 'Blackhawks', 'Wild', 'Predators', 'Jets', 'Avalanche', 'Stars', 'Coyotes']",Simple,Jets
6574,"['Jets', 'Wild', 'Jets', 'Blues', 'Avalanche', 'Stars', 'Coyotes', 'Blackhawks', 'Predators']",Simple,Jets
6972,"['Jets', 'Predators', 'Stars', 'Blackhawks', 'Blues', 'Jets', 'Wild', 'Coyotes', 'Avalanche']",Simple,Jets
5026,"['Jets', 'Wild', 'Blackhawks', 'Blues', 'Predators', 'Stars', 'Coyotes', 'Avalanche', 'Jets']",Simple,Jets
5985,"['Jets', 'Avalanche', 'Coyotes', 'Stars', 'Jets', 'Wild', 'Blues', 'Predators', 'Blackhawks']",Simple,Jets
6808,"['Jets', 'Blackhawks', 'Blues', 'Stars', 'Wild', 'Jets', 'Predators', 'Coyotes', 'Avalanche']",Simple,Jets
5610,"['Jets', 'Wild', 'Jets', 'Stars', 'Avalanche', 'Coyotes', 'Predators', 'Blues', 'Blackhawks']",Simple,Jets
6698,"['Jets', 'Predators', 'Wild', 'Jets', 'Blackhawks', 'Stars', 'Blues', 'Avalanche', 'Coyotes']",Simple,Jets
6095,"['Jets', 'Blackhawks', 'Predators', 'Stars', 'Coyotes', 'Avalanche', 'Wild', 'Jets', 'Blues']",Simple,Jets
6927,"['Jets', 'Coyotes', 'Stars', 'Predators', 'Blues', 'Wild', 'Jets', 'Blackhawks', 'Avalanche']",Simple,Jets
5845,"['Jets', 'Wild', 'Blues', 'Coyotes', 'Avalanche', 'Stars', 'Predators', 'Blackhawks', 'Jets']",Simple,Jets
6768,"['Jets', 'Predators', 'Jets', 'Wild', 'Blues', 'Blackhawks', 'Avalanche', 'Coyotes', 'Stars']",Simple,Jets
6162,"['Jets', 'Wild', 'Blackhawks', 'Blues', 'Predators', 'Jets', 'Coyotes', 'Avalanche', 'Stars']",Simple,Jets
5634,"['Jets', 'Blues', 'Predators', 'Stars', 'Coyotes', 'Avalanche', 'Blackhawks', 'Wild', 'Jets']",Simple,Jets
4898,"['Jets', 'Wild', 'Jets', 'Blues', 'Predators', 'Blackhawks', 'Stars', 'Avalanche', 'Coyotes']",Simple,Jets
