Cost,Path,Function-Type,Start,Iteration 
5113,"['Golden Knights', 'Kraken', 'Canucks', 'Sharks', 'Ducks', 'Golden Knights', 'Kings', 'Oilers', 'Flames']",Simple,Golden Knights,89
3426,"['Golden Knights', 'Kings', 'Ducks', 'Sharks', 'Canucks', 'Kraken', 'Golden Knights', 'Flames', 'Oilers']",Simple,Golden Knights,90
4005,"['Golden Knights', 'Flames', 'Oilers', 'Kraken', 'Golden Knights', 'Ducks', 'Kings', 'Sharks', 'Canucks']",Simple,Golden Knights,91
6857,"['Golden Knights', 'Flames', 'Kings', 'Ducks', 'Golden Knights', 'Canucks', 'Kraken', 'Oilers', 'Sharks']",Simple,Golden Knights,92
5426,"['Golden Knights', 'Canucks', 'Oilers', 'Kraken', 'Flames', 'Sharks', 'Kings', 'Ducks', 'Golden Knights']",Simple,Golden Knights,93
5031,"['Golden Knights', 'Sharks', 'Golden Knights', 'Ducks', 'Kings', 'Flames', 'Canucks', 'Oilers', 'Kraken']",Simple,Golden Knights,94
4192,"['Golden Knights', 'Kings', 'Ducks', 'Sharks', 'Canucks', 'Kraken', 'Flames', 'Oilers', 'Golden Knights']",Simple,Golden Knights,95
4401,"['Golden Knights', 'Kings', 'Ducks', 'Kraken', 'Golden Knights', 'Sharks', 'Oilers', 'Flames', 'Canucks']",Simple,Golden Knights,96
5234,"['Golden Knights', 'Kings', 'Golden Knights', 'Sharks', 'Ducks', 'Oilers', 'Kraken', 'Flames', 'Canucks']",Simple,Golden Knights,97
4908,"['Golden Knights', 'Kraken', 'Oilers', 'Flames', 'Canucks', 'Golden Knights', 'Ducks', 'Sharks', 'Kings']",Simple,Golden Knights,98
4985,"['Golden Knights', 'Kings', 'Canucks', 'Kraken', 'Sharks', 'Golden Knights', 'Ducks', 'Flames', 'Oilers']",Simple,Golden Knights,99
5563,"['Golden Knights', 'Sharks', 'Kings', 'Ducks', 'Kraken', 'Flames', 'Canucks', 'Oilers', 'Golden Knights']",Simple,Golden Knights,100
6594,"['Golden Knights', 'Flames', 'Canucks', 'Golden Knights', 'Oilers', 'Kraken', 'Sharks', 'Kings', 'Ducks']",Simple,Golden Knights,101
5785,"['Golden Knights', 'Oilers', 'Ducks', 'Kings', 'Sharks', 'Flames', 'Canucks', 'Kraken', 'Golden Knights']",Simple,Golden Knights,102
4585,"['Golden Knights', 'Ducks', 'Golden Knights', 'Kings', 'Sharks', 'Flames', 'Canucks', 'Oilers', 'Kraken']",Simple,Golden Knights,103
4408,"['Golden Knights', 'Flames', 'Oilers', 'Canucks', 'Kraken', 'Ducks', 'Kings', 'Sharks', 'Golden Knights']",Simple,Golden Knights,104
4657,"['Golden Knights', 'Flames', 'Oilers', 'Kraken', 'Canucks', 'Kings', 'Ducks', 'Sharks', 'Golden Knights']",Simple,Golden Knights,105
5008,"['Golden Knights', 'Flames', 'Oilers', 'Canucks', 'Sharks', 'Ducks', 'Kings', 'Golden Knights', 'Kraken']",Simple,Golden Knights,106
5286,"['Golden Knights', 'Kraken', 'Sharks', 'Kings', 'Golden Knights', 'Ducks', 'Oilers', 'Flames', 'Canucks']",Simple,Golden Knights,107
4304,"['Golden Knights', 'Kraken', 'Oilers', 'Flames', 'Canucks', 'Sharks', 'Kings', 'Ducks', 'Golden Knights']",Simple,Golden Knights,108
5787,"['Golden Knights', 'Sharks', 'Kings', 'Ducks', 'Canucks', 'Flames', 'Kraken', 'Oilers', 'Golden Knights']",Simple,Golden Knights,109
5661,"['Golden Knights', 'Oilers', 'Canucks', 'Flames', 'Kraken', 'Ducks', 'Sharks', 'Kings', 'Golden Knights']",Simple,Golden Knights,110
5172,"['Golden Knights', 'Canucks', 'Oilers', 'Flames', 'Sharks', 'Ducks', 'Kings', 'Kraken', 'Golden Knights']",Simple,Golden Knights,111
5350,"['Golden Knights', 'Oilers', 'Flames', 'Kraken', 'Golden Knights', 'Kings', 'Sharks', 'Canucks', 'Ducks']",Simple,Golden Knights,112
5760,"['Golden Knights', 'Kraken', 'Canucks', 'Sharks', 'Kings', 'Ducks', 'Oilers', 'Flames', 'Golden Knights']",Simple,Golden Knights,113
4492,"['Golden Knights', 'Oilers', 'Flames', 'Canucks', 'Kraken', 'Kings', 'Golden Knights', 'Ducks', 'Sharks']",Simple,Golden Knights,114
5080,"['Golden Knights', 'Sharks', 'Kraken', 'Oilers', 'Canucks', 'Flames', 'Golden Knights', 'Kings', 'Ducks']",Simple,Golden Knights,115
3562,"['Golden Knights', 'Sharks', 'Golden Knights', 'Kings', 'Ducks', 'Kraken', 'Canucks', 'Oilers', 'Flames']",Simple,Golden Knights,116
5013,"['Golden Knights', 'Kings', 'Golden Knights', 'Canucks', 'Kraken', 'Ducks', 'Sharks', 'Flames', 'Oilers']",Simple,Golden Knights,117
3577,"['Golden Knights', 'Canucks', 'Oilers', 'Flames', 'Kraken', 'Golden Knights', 'Ducks', 'Kings', 'Sharks']",Simple,Golden Knights,118
4814,"['Golden Knights', 'Kings', 'Sharks', 'Golden Knights', 'Ducks', 'Canucks', 'Flames', 'Kraken', 'Oilers']",Simple,Golden Knights,119
4140,"['Golden Knights', 'Oilers', 'Flames', 'Kraken', 'Golden Knights', 'Kings', 'Ducks', 'Sharks', 'Canucks']",Simple,Golden Knights,120
4187,"['Golden Knights', 'Ducks', 'Golden Knights', 'Kings', 'Sharks', 'Canucks', 'Flames', 'Kraken', 'Oilers']",Simple,Golden Knights,121
5852,"['Golden Knights', 'Canucks', 'Kraken', 'Golden Knights', 'Sharks', 'Ducks', 'Flames', 'Oilers', 'Kings']",Simple,Golden Knights,122
4909,"['Golden Knights', 'Canucks', 'Oilers', 'Flames', 'Kraken', 'Kings', 'Golden Knights', 'Ducks', 'Sharks']",Simple,Golden Knights,123
5395,"['Golden Knights', 'Kings', 'Golden Knights', 'Sharks', 'Canucks', 'Ducks', 'Kraken', 'Flames', 'Oilers']",Simple,Golden Knights,124
5820,"['Golden Knights', 'Oilers', 'Flames', 'Sharks', 'Canucks', 'Kraken', 'Ducks', 'Golden Knights', 'Kings']",Simple,Golden Knights,125
5633,"['Golden Knights', 'Kraken', 'Flames', 'Canucks', 'Oilers', 'Golden Knights', 'Ducks', 'Sharks', 'Kings']",Simple,Golden Knights,126
4602,"['Golden Knights', 'Kraken', 'Canucks', 'Oilers', 'Flames', 'Ducks', 'Golden Knights', 'Kings', 'Sharks']",Simple,Golden Knights,127
5311,"['Golden Knights', 'Ducks', 'Flames', 'Canucks', 'Oilers', 'Kraken', 'Sharks', 'Kings', 'Golden Knights']",Simple,Golden Knights,128
4699,"['Golden Knights', 'Kings', 'Sharks', 'Ducks', 'Golden Knights', 'Flames', 'Canucks', 'Oilers', 'Kraken']",Simple,Golden Knights,129
4546,"['Golden Knights', 'Flames', 'Oilers', 'Kraken', 'Canucks', 'Ducks', 'Kings', 'Golden Knights', 'Sharks']",Simple,Golden Knights,130
4336,"['Golden Knights', 'Flames', 'Oilers', 'Canucks', 'Kraken', 'Ducks', 'Kings', 'Golden Knights', 'Sharks']",Simple,Golden Knights,131
3508,"['Golden Knights', 'Sharks', 'Kings', 'Ducks', 'Golden Knights', 'Flames', 'Oilers', 'Canucks', 'Kraken']",Simple,Golden Knights,132
2911,"['Golden Knights', 'Ducks', 'Golden Knights', 'Kings', 'Sharks', 'Kraken', 'Canucks', 'Flames', 'Oilers']",Simple,Golden Knights,133
5579,"['Golden Knights', 'Ducks', 'Kraken', 'Golden Knights', 'Sharks', 'Flames', 'Oilers', 'Canucks', 'Kings']",Simple,Golden Knights,134
4643,"['Golden Knights', 'Sharks', 'Oilers', 'Flames', 'Canucks', 'Kraken', 'Kings', 'Golden Knights', 'Ducks']",Simple,Golden Knights,135
4579,"['Golden Knights', 'Ducks', 'Kings', 'Sharks', 'Golden Knights', 'Flames', 'Canucks', 'Oilers', 'Kraken']",Simple,Golden Knights,136
5107,"['Golden Knights', 'Kraken', 'Golden Knights', 'Flames', 'Oilers', 'Canucks', 'Ducks', 'Kings', 'Sharks']",Simple,Golden Knights,137
5196,"['Golden Knights', 'Canucks', 'Oilers', 'Flames', 'Kraken', 'Ducks', 'Sharks', 'Golden Knights', 'Kings']",Simple,Golden Knights,138
3607,"['Golden Knights', 'Kings', 'Ducks', 'Sharks', 'Canucks', 'Kraken', 'Golden Knights', 'Oilers', 'Flames']",Simple,Golden Knights,139
4545,"['Golden Knights', 'Sharks', 'Oilers', 'Flames', 'Kraken', 'Canucks', 'Golden Knights', 'Kings', 'Ducks']",Simple,Golden Knights,140
5031,"['Golden Knights', 'Sharks', 'Golden Knights', 'Ducks', 'Kings', 'Flames', 'Canucks', 'Oilers', 'Kraken']",Simple,Golden Knights,141
6470,"['Golden Knights', 'Canucks', 'Kings', 'Golden Knights', 'Ducks', 'Sharks', 'Oilers', 'Kraken', 'Flames']",Simple,Golden Knights,142
6622,"['Golden Knights', 'Canucks', 'Flames', 'Kraken', 'Golden Knights', 'Oilers', 'Kings', 'Sharks', 'Ducks']",Simple,Golden Knights,143
5214,"['Golden Knights', 'Flames', 'Oilers', 'Kraken', 'Kings', 'Ducks', 'Golden Knights', 'Sharks', 'Canucks']",Simple,Golden Knights,144
5935,"['Golden Knights', 'Canucks', 'Kings', 'Ducks', 'Golden Knights', 'Flames', 'Oilers', 'Kraken', 'Sharks']",Simple,Golden Knights,145
6063,"['Golden Knights', 'Canucks', 'Sharks', 'Oilers', 'Flames', 'Kraken', 'Ducks', 'Kings', 'Golden Knights']",Simple,Golden Knights,146
4689,"['Golden Knights', 'Kings', 'Ducks', 'Oilers', 'Flames', 'Canucks', 'Sharks', 'Kraken', 'Golden Knights']",Simple,Golden Knights,147
4250,"['Golden Knights', 'Sharks', 'Ducks', 'Kings', 'Golden Knights', 'Oilers', 'Kraken', 'Canucks', 'Flames']",Simple,Golden Knights,148
5599,"['Golden Knights', 'Ducks', 'Sharks', 'Kings', 'Oilers', 'Kraken', 'Canucks', 'Flames', 'Golden Knights']",Simple,Golden Knights,149
4574,"['Golden Knights', 'Sharks', 'Ducks', 'Golden Knights', 'Kings', 'Flames', 'Kraken', 'Canucks', 'Oilers']",Simple,Golden Knights,150
3649,"['Golden Knights', 'Kings', 'Ducks', 'Golden Knights', 'Sharks', 'Canucks', 'Oilers', 'Flames', 'Kraken']",Simple,Golden Knights,151
4716,"['Golden Knights', 'Sharks', 'Ducks', 'Golden Knights', 'Kings', 'Kraken', 'Oilers', 'Canucks', 'Flames']",Simple,Golden Knights,152
4868,"['Golden Knights', 'Kraken', 'Oilers', 'Flames', 'Canucks', 'Ducks', 'Golden Knights', 'Kings', 'Sharks']",Simple,Golden Knights,153
5220,"['Golden Knights', 'Kings', 'Canucks', 'Flames', 'Oilers', 'Kraken', 'Ducks', 'Sharks', 'Golden Knights']",Simple,Golden Knights,154
5101,"['Golden Knights', 'Kraken', 'Oilers', 'Flames', 'Canucks', 'Kings', 'Sharks', 'Golden Knights', 'Ducks']",Simple,Golden Knights,155
5492,"['Golden Knights', 'Oilers', 'Canucks', 'Kraken', 'Sharks', 'Golden Knights', 'Kings', 'Ducks', 'Flames']",Simple,Golden Knights,156
4518,"['Golden Knights', 'Canucks', 'Kraken', 'Oilers', 'Flames', 'Sharks', 'Golden Knights', 'Ducks', 'Kings']",Simple,Golden Knights,157
4789,"['Golden Knights', 'Ducks', 'Sharks', 'Kraken', 'Golden Knights', 'Kings', 'Flames', 'Canucks', 'Oilers']",Simple,Golden Knights,158
